family,setting_label,method,base_blm,status,theta_min,theta_max,sci_alpha,sci_beta,solution_path,total_boundary_length,same_zone_boundary_length,candidate_boundary_length,aggregation_compactness,patch_count_8_neighbor,largest_patch_share_8_neighbor,total_conflict_cost,objective_value,target_min_achievement_ratio,target_achievement,baseline_overlap_share,different_cells,fixed_adaptive_overlap_share
theta_sensitivity,fixed_baseline,fixed_blm,0.0003,solved,0.2,1.0,0.5,0.5,BLM_Sensitivity_real_macos_3e4/theta_sensitivity_fixed_blm_blm_0.0003.gpkg,171750.0,11374750.0,11546500.0,0.9851253626640107,60,0.9751067463706234,473966.0,1191.71,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",1.0,0,1.0
theta_sensitivity,theta_0.2_1.0,sci_adaptive_blm,0.0003,solved,0.2,1.0,0.5,0.5,BLM_Sensitivity_real_macos_3e4/theta_sensitivity_theta_0.2_1.0_adaptive_blm_blm_0.0003.gpkg,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.14,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
theta_sensitivity,theta_0.4_1.0,sci_adaptive_blm,0.0003,solved,0.4,1.0,0.5,0.5,BLM_Sensitivity_real_macos_3e4/theta_sensitivity_theta_0.4_1.0_adaptive_blm_blm_0.0003.gpkg,172500.0,11374000.0,11546500.0,0.9850604079158186,61,0.9751067463706234,473966.0,1191.29,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
theta_sensitivity,theta_0.1_1.0,sci_adaptive_blm,0.0003,solved,0.1,1.0,0.5,0.5,BLM_Sensitivity_real_macos_3e4/theta_sensitivity_theta_0.1_1.0_adaptive_blm_blm_0.0003.gpkg,173750.0,11372750.0,11546500.0,0.9849521500021652,63,0.9751067463706234,473476.0,1191.07,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9997438087105038,6,0.9997438087105038
theta_sensitivity,theta_0.2_0.8,sci_adaptive_blm,0.0003,solved,0.2,0.8,0.5,0.5,BLM_Sensitivity_real_macos_3e4/theta_sensitivity_theta_0.2_0.8_adaptive_blm_blm_0.0003.gpkg,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.11,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
theta_sensitivity,theta_0.3_0.9,sci_adaptive_blm,0.0003,solved,0.3,0.9,0.5,0.5,BLM_Sensitivity_real_macos_3e4/theta_sensitivity_theta_0.3_0.9_adaptive_blm_blm_0.0003.gpkg,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.2,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
alpha_beta_sensitivity,fixed_baseline,fixed_blm,0.0003,solved,0.2,1.0,0.5,0.5,BLM_Sensitivity_real_macos_3e4/alpha_beta_sensitivity_fixed_blm_blm_0.0003.gpkg,171750.0,11374750.0,11546500.0,0.9851253626640107,60,0.9751067463706234,473966.0,1191.71,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",1.0,0,1.0
alpha_beta_sensitivity,alpha_0.3_beta_0.7,sci_adaptive_blm,0.0003,solved,0.2,1.0,0.3,0.7,BLM_Sensitivity_real_macos_3e4/alpha_beta_sensitivity_alpha_0.3_beta_0.7_adaptive_blm_blm_0.0003.gpkg,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.14,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
alpha_beta_sensitivity,alpha_0.5_beta_0.5,sci_adaptive_blm,0.0003,solved,0.2,1.0,0.5,0.5,BLM_Sensitivity_real_macos_3e4/alpha_beta_sensitivity_alpha_0.5_beta_0.5_adaptive_blm_blm_0.0003.gpkg,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.14,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
alpha_beta_sensitivity,alpha_0.7_beta_0.3,sci_adaptive_blm,0.0003,solved,0.2,1.0,0.7,0.3,BLM_Sensitivity_real_macos_3e4/alpha_beta_sensitivity_alpha_0.7_beta_0.3_adaptive_blm_blm_0.0003.gpkg,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.14,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9998292058070025,4,0.9998292058070025
